1,0.001,1500
Loss,Accuracy
1.00026,0.485278
0.924411,0.92145
0.848718,0.923674
0.773238,0.924563
0.701476,0.924859
0.640414,0.925007
0.586439,0.924316
0.537898,0.92397
0.496131,0.924513
0.461384,0.925551
0.432325,0.927428
0.407669,0.93059
0.386641,0.933406
0.36848,0.935135
0.352453,0.937309
0.338146,0.939383
0.325306,0.941113
0.313833,0.941854
0.303432,0.94294
0.294057,0.943385
0.285542,0.944571
0.27779,0.945312
0.270683,0.945806
0.264161,0.946547
0.258174,0.947041
0.252647,0.947288
0.247495,0.948226
0.2427,0.948671
0.238254,0.949017
0.234092,0.949659
0.230211,0.950499
0.226569,0.950944
0.223151,0.951141
0.219947,0.951536
0.21693,0.951734
0.214066,0.952129
0.211326,0.952574
0.208713,0.952821
0.206218,0.952969
0.203845,0.953167
0.201564,0.953364
0.199384,0.953809
0.19732,0.954451
0.195353,0.954649
0.193493,0.955044
0.191716,0.955291
0.190016,0.955736
0.188386,0.956279
0.18682,0.956427
0.185307,0.956724
0.183853,0.956971
0.182457,0.957267
0.181111,0.957712
0.179814,0.95781
0.178562,0.95865
0.177349,0.958947
0.17617,0.958996
0.175028,0.959144
0.173926,0.959441
0.172862,0.95954
0.171833,0.959935
0.17083,0.960132
0.169857,0.960429
0.168912,0.960626
0.167995,0.960972
0.1671,0.961219
0.166225,0.961516
0.165374,0.961713
0.164543,0.961763
0.163735,0.961911
0.16295,0.96201
0.162183,0.962059
0.161434,0.962207
0.160702,0.962355
0.159988,0.962504
0.159287,0.962504
0.1586,0.962603
0.157927,0.9628
0.15727,0.962948
0.156627,0.963591
0.155998,0.963838
0.155379,0.963936
0.154768,0.964282
0.154169,0.964332
0.15358,0.96443
0.153001,0.96448
0.152432,0.964628
0.15187,0.964826
0.151319,0.964924
0.150778,0.964974
0.150245,0.965073
0.14972,0.965122
0.149202,0.96532
0.148691,0.965369
0.14819,0.965468
0.147698,0.965616
0.147215,0.965715
0.146742,0.965863
0.146276,0.965962
0.145819,0.966011
0.145369,0.966159
0.144924,0.966357
0.144485,0.966357
0.144054,0.966653
0.143629,0.966653
0.143211,0.966703
0.1428,0.966802
0.142391,0.966851
0.141989,0.966999
0.141593,0.967148
0.141202,0.967345
0.140818,0.967395
0.140437,0.967444
0.14006,0.967493
0.139689,0.967493
0.139323,0.967543
0.138963,0.967543
0.138607,0.96774
0.138257,0.967938
0.137911,0.967938
0.13757,0.968037
0.137232,0.968086
0.136901,0.968136
0.136575,0.968432
0.136253,0.968481
0.135934,0.968531
0.13562,0.968531
0.135311,0.96858
0.135005,0.968778
0.134702,0.968827
0.134402,0.968975
0.134108,0.968975
0.133817,0.969124
0.133529,0.969173
0.133244,0.969173
0.132963,0.969321
0.132686,0.969371
0.13241,0.969469
0.132138,0.969519
0.131869,0.969469
0.131604,0.969469
0.131342,0.969568
0.131083,0.969618
0.130828,0.969667
0.130575,0.969716
0.130325,0.969716
0.130079,0.969716
0.129833,0.969766
0.129591,0.969766
0.129349,0.969865
0.129109,0.969914
0.128872,0.970062
0.128635,0.970161
0.128401,0.97021
0.128169,0.97026
0.127939,0.970359
0.127712,0.970507
0.127486,0.970606
0.127263,0.970655
0.127042,0.970704
0.126825,0.970803
0.126608,0.970951
0.126393,0.970951
0.126181,0.971198
0.125971,0.971297
0.125761,0.971297
0.125554,0.971446
0.125348,0.971495
0.125145,0.971495
0.124943,0.971594
0.124744,0.971742
0.124545,0.971742
0.124348,0.971841
0.124152,0.97189
0.123959,0.97189
0.123768,0.97189
0.123577,0.97189
0.123389,0.97194
0.123202,0.972038
0.123017,0.972137
0.122835,0.972384
0.122654,0.972434
0.122475,0.972434
0.122297,0.972434
0.12212,0.972631
0.121945,0.972681
0.121772,0.972779
0.121601,0.972878
0.121432,0.972878
0.121265,0.972977
0.121098,0.972977
0.120933,0.973076
0.120768,0.973125
0.120605,0.973323
0.120443,0.973372
0.120284,0.973471
0.120125,0.973619
0.119967,0.973669
0.119811,0.973767
0.119656,0.973817
0.119502,0.973866
0.119348,0.974014
0.119196,0.974064
0.119045,0.974163
0.118897,0.974212
0.118749,0.974261
0.118602,0.974311
0.118455,0.974311
0.11831,0.97441
0.118166,0.97436
0.118024,0.974459
0.117884,0.974459
0.117745,0.974508
0.117605,0.974459
0.117465,0.974508
0.117327,0.974607
0.11719,0.974607
0.117056,0.974706
0.116922,0.974755
0.116789,0.974805
0.116658,0.974953
0.116527,0.974904
0.116397,0.975052
0.116268,0.975052
0.116139,0.975052
0.116014,0.975101
0.115892,0.9752
0.11577,0.975101
0.115647,0.9752
0.115525,0.975249
0.115402,0.975249
0.115281,0.975249
0.115162,0.975299
0.115046,0.975348
0.114933,0.975348
0.114818,0.975546
0.114704,0.975496
0.114587,0.975645
0.114473,0.975694
0.114359,0.975793
0.11425,0.975793
0.114143,0.975892
0.11404,0.975892
0.113928,0.975941
0.11382,0.975941
0.113711,0.975991
0.113604,0.975991
0.113497,0.976139
0.113392,0.976188
0.11329,0.976238
0.113192,0.976188
0.113088,0.976238
0.112988,0.976238
0.112881,0.976287
0.112779,0.976238
0.112678,0.976336
0.11258,0.976238
0.112484,0.976386
0.11239,0.976336
0.112286,0.976435
0.112188,0.976386
0.112091,0.976485
0.111991,0.976435
0.111895,0.976485
0.1118,0.976485
0.111709,0.976485
0.111625,0.976534
0.111525,0.976534
0.111434,0.976583
0.111338,0.976583
0.111243,0.976633
0.11115,0.976682
0.111061,0.976781
0.110975,0.97683
0.110891,0.976979
0.1108,0.976929
0.110712,0.976979
0.110616,0.977077
0.110528,0.977028
0.110437,0.977176
0.110349,0.977226
0.110267,0.977226
0.110191,0.977374
0.110106,0.977374
0.110023,0.977423
0.10993,0.977423
0.109844,0.977473
0.109758,0.977571
0.109674,0.977571
0.109589,0.97767
0.109512,0.977571
0.109437,0.97767
0.109357,0.977571
0.109274,0.97767
0.109187,0.977571
0.109101,0.97767
0.109018,0.977621
0.108935,0.97767
0.108858,0.977571
0.108789,0.977769
0.108718,0.977621
0.108636,0.977769
0.108559,0.97767
0.108474,0.977769
0.108392,0.977818
0.108313,0.977868
0.108236,0.977868
0.10816,0.977868
0.108096,0.977868
0.108031,0.977917
0.107957,0.977868
0.107879,0.977917
0.1078,0.977868
0.107721,0.978065
0.107645,0.977967
0.107572,0.978065
0.107502,0.978016
0.10744,0.978214
0.107375,0.978115
0.107305,0.978263
0.107233,0.978164
0.107158,0.978362
0.107082,0.978214
0.107009,0.978312
0.106938,0.978362
0.106872,0.978461
0.106821,0.978461
0.106767,0.978609
0.106692,0.978461
0.10662,0.978658
0.106551,0.978609
0.106482,0.978658
0.106411,0.978708
0.106346,0.978708
0.106279,0.978806
0.106219,0.978905
0.106166,0.978806
0.106106,0.978955
0.106043,0.978856
0.105974,0.979053
0.105903,0.979004
0.105834,0.978955
0.105766,0.979053
0.105703,0.979053
0.105646,0.979053
0.105598,0.979152
0.10555,0.979202
0.105487,0.979152
0.105422,0.979202
0.105351,0.979152
0.105285,0.9793
0.10522,0.9793
0.105159,0.97935
0.105101,0.979399
0.10505,0.97935
0.105003,0.979399
0.10495,0.9793
0.104886,0.979449
0.104821,0.979449
0.104754,0.979498
0.104691,0.979449
0.10463,0.979597
0.10457,0.979547
0.104515,0.979597
0.104481,0.979547
0.104438,0.979646
0.104378,0.979547
0.104312,0.979646
0.104249,0.979597
0.104186,0.979696
0.104128,0.979597
0.104071,0.979696
0.104019,0.979597
0.103974,0.979696
0.10393,0.979597
0.103876,0.979794
0.103822,0.979597
0.103755,0.979794
0.103693,0.979646
0.103634,0.979794
0.103576,0.979794
0.10352,0.979794
0.103468,0.979794
0.10344,0.979893
0.103413,0.979794
0.103354,0.979893
0.103301,0.979893
0.103236,0.979943
0.103178,0.979893
0.103122,0.979943
0.103067,0.979992
0.103018,0.979992
0.102977,0.980041
0.102939,0.980041
0.102896,0.980041
0.102838,0.980091
0.102779,0.980041
0.10272,0.98014
0.102663,0.980091
0.102611,0.98014
0.102562,0.98014
0.102531,0.98019
0.102511,0.980091
0.102463,0.98019
0.102417,0.98019
0.102357,0.980289
0.102301,0.980239
0.102243,0.980338
0.102188,0.980387
0.102139,0.980437
0.102095,0.980486
0.102063,0.980387
0.102043,0.980437
0.101998,0.980387
0.101953,0.980437
0.10189,0.980387
0.101836,0.980486
0.101783,0.980437
0.101733,0.980486
0.101686,0.980437
0.101647,0.980486
0.101627,0.980486
0.101612,0.980486
0.101559,0.980536
0.101515,0.980486
0.101449,0.980536
0.101395,0.980536
0.101347,0.980536
0.101302,0.980536
0.101258,0.980536
0.101218,0.980634
0.101207,0.980634
0.101193,0.980634
0.101143,0.980684
0.101093,0.980733
0.101036,0.980684
0.100984,0.980733
0.100938,0.980684
0.100889,0.980733
0.100843,0.980684
0.100799,0.980783
0.100758,0.980783
0.100738,0.980733
0.100745,0.980733
0.100712,0.980733
0.100665,0.980832
0.100615,0.980733
0.100564,0.980783
0.10051,0.980783
0.100463,0.980832
0.100419,0.980783
0.100383,0.980832
0.100356,0.980832
0.100345,0.980931
0.100317,0.980832
0.100273,0.98103
0.100223,0.980832
0.100173,0.98098
0.10012,0.980881
0.100073,0.980931
0.100029,0.98098
0.0999881,0.98103
0.0999533,0.98098
0.0999533,0.981128
0.0999608,0.981128
0.0999147,0.981227
0.0998826,0.981128
0.0998212,0.981227
0.0997743,0.981128
0.0997293,0.981277
0.0996838,0.981227
0.0996453,0.981425
0.0996052,0.981326
0.0995752,0.981425
0.0995611,0.981326
0.0995592,0.981474
0.0995289,0.981326
0.0994683,0.981474
0.099421,0.981375
0.0993713,0.981474
0.0993226,0.981375
0.0992796,0.981425
0.09924,0.981425
0.099209,0.981474
0.0992,0.981524
0.099211,0.981524
0.099183,0.981425
0.0991391,0.981573
0.0991033,0.981474
0.0990477,0.981573
0.0989999,0.981474
0.0989584,0.981622
0.0989198,0.981474
0.0988839,0.981622
0.0988562,0.981524
0.098852,0.981622
0.0988539,0.981573
0.0988133,0.981622
0.0987851,0.981622
0.0987267,0.981672
0.0986725,0.981672
0.098623,0.981721
0.0985822,0.981771
0.0985469,0.981721
0.0985194,0.981771
0.0985128,0.981771
0.0985217,0.98182
0.0984938,0.98182
0.098481,0.98182
0.0984279,0.981869
0.0983854,0.98182
0.0983301,0.98182
0.0982838,0.98182
0.0982469,0.981919
0.0982128,0.981869
0.098187,0.981919
0.0981941,0.981869
0.0981971,0.981919
0.0981776,0.981869
0.0981303,0.981919
0.0980861,0.981869
0.09803,0.981968
0.0979872,0.981919
0.0979492,0.982018
0.0979144,0.981968
0.0978805,0.982018
0.0978555,0.982067
0.0978661,0.982067
0.0978878,0.981968
0.0978548,0.982018
0.0978376,0.981968
0.0977705,0.982067
0.097725,0.982018
0.0976796,0.982116
0.0976397,0.982067
0.0976026,0.982166
0.0975702,0.982166
0.0975412,0.982166
0.0975258,0.982166
0.0975562,0.982215
0.0975732,0.982067
0.0975201,0.982116
0.0974903,0.982116
0.0974326,0.982215
0.0973887,0.982116
0.0973435,0.982215
0.0973067,0.982215
0.097269,0.982215
0.0972364,0.982265
0.0972053,0.982215
0.0971856,0.982265
0.0972161,0.982314
0.0972592,0.982363
0.0972124,0.982413
0.0972009,0.982413
0.0971338,0.982363
0.0970915,0.982462
0.0970534,0.982363
0.0970174,0.982512
0.0969845,0.982413
0.0969535,0.982561
0.0969286,0.982462
0.0969189,0.982561
0.0969412,0.982512
0.0969528,0.982512
0.0968914,0.98261
0.0968618,0.98261
0.0968103,0.98261
0.0967654,0.98261
0.0967203,0.98266
0.096686,0.98266
0.0966545,0.982709
0.0966278,0.982709
0.0966171,0.982759
0.0966496,0.98266
0.0966904,0.982857
0.0966651,0.98266
0.0966094,0.982907
0.0965806,0.982709
0.0965264,0.982907
0.0964877,0.982808
0.0964511,0.982956
0.0964146,0.982857
0.0963823,0.983006
0.0963562,0.982857
0.0963411,0.983006
0.0963739,0.982808
0.0964147,0.982956
0.0963923,0.982808
0.0963302,0.982956
0.0963083,0.982857
0.0962429,0.983006
0.0962064,0.982956
0.0961675,0.983006
0.0961337,0.983006
0.0961004,0.983006
0.0960737,0.983006
0.0960597,0.983006
0.0960959,0.983006
0.0961372,0.983055
0.0961398,0.982907
0.0960828,0.983055
0.0960578,0.982956
0.0960011,0.983055
0.0959776,0.982956
0.0959367,0.983055
0.0959131,0.983006
0.0958717,0.983104
0.0958384,0.983055
0.0958085,0.983104
0.0957828,0.983055
0.0957659,0.983104
0.0958017,0.983154
0.0958574,0.983302
0.095845,0.983154
0.0957865,0.983302
0.0957588,0.983154
0.0957014,0.983302
0.0956756,0.983253
0.0956333,0.983302
0.0956041,0.983253
0.0955677,0.983302
0.0955373,0.983253
0.095507,0.983401
0.09548,0.98345
0.0954658,0.98345
0.0955107,0.983302
0.0955837,0.98345
0.0955709,0.983203
0.0955198,0.98345
0.095492,0.983302
0.0954445,0.98345
0.0954266,0.983351
0.0953748,0.983549
0.0953536,0.9835
0.0953145,0.983549
0.0952952,0.983549
0.0952649,0.983549
0.0952519,0.983549
0.0952444,0.983648
0.0953007,0.9835
0.0952936,0.983697
0.0952776,0.98345
0.0952185,0.983697
0.0951932,0.9835
0.0951353,0.983747
0.0950933,0.983598
0.0950543,0.983648
0.0950262,0.983648
0.095002,0.983697
0.0949932,0.983648
0.095009,0.983697
0.095074,0.983598
0.0950821,0.983796
0.0950765,0.983598
0.0950153,0.983796
0.0949923,0.983598
0.0949322,0.983796
0.0949066,0.983747
0.0948607,0.983796
0.0948243,0.983747
0.0947972,0.983747
0.0947782,0.983796
0.0947752,0.983747
0.0948193,0.983747
0.0948561,0.983796
0.0948695,0.983697
0.0948097,0.983796
0.0947862,0.983697
0.0947258,0.983845
0.0947085,0.983747
0.0946578,0.983895
0.0946197,0.983845
0.0945857,0.983845
0.0945595,0.983845
0.0945367,0.983845
0.094532,0.983845
0.0945787,0.983944
0.0946769,0.983697
0.0946268,0.984043
0.0946268,0.983747
0.0945482,0.983994
0.094535,0.983747
0.0944822,0.983994
0.0944621,0.983845
0.0944177,0.983994
0.0943908,0.983845
0.0943649,0.983994
0.0943441,0.983845
0.0943356,0.983994
0.0943727,0.983845
0.0944219,0.984092
0.0944482,0.983796
0.0943763,0.984092
0.0943645,0.983845
0.0942932,0.984092
0.0942578,0.983895
0.0942121,0.983994
0.0941772,0.983994
0.0941476,0.983994
0.0941239,0.983994
0.0941081,0.984043
0.094123,0.983994
0.0942038,0.984241
0.0942673,0.983944
0.0942158,0.984191
0.0942134,0.983944
0.0941274,0.984241
0.0941147,0.983994
0.0940638,0.984241
0.0940409,0.983944
0.0940065,0.984241
0.0939833,0.983994
0.0939585,0.984241
0.0939433,0.983994
0.093941,0.984241
0.0940011,0.983994
0.0940239,0.984241
0.0940379,0.984043
0.0939715,0.984241
0.093951,0.984043
0.0938867,0.984241
0.0938413,0.984092
0.0938004,0.984241
0.0937708,0.984142
0.0937467,0.984241
0.0937301,0.984191
0.0937353,0.984241
0.0937822,0.984142
0.0938626,0.984241
0.0938756,0.983994
0.0938264,0.984241
0.0938055,0.984043
0.0937368,0.984241
0.0937163,0.984092
0.0936745,0.984241
0.0936485,0.984142
0.0936176,0.984241
0.093591,0.984241
0.0935657,0.98429
0.0935449,0.98429
0.0935304,0.98429
0.0935464,0.984241
0.0936293,0.98429
0.0936876,0.984142
0.0936361,0.98429
0.0936266,0.984142
0.0935537,0.98429
0.0935307,0.984142
0.0934806,0.984339
0.0934487,0.984241
0.093415,0.98429
0.093387,0.98429
0.0933578,0.98429
0.0933334,0.98429
0.093317,0.98429
0.0933269,0.98429
0.0934079,0.984339
0.0935099,0.984191
0.0934696,0.984389
0.093458,0.984191
0.0933864,0.984389
